candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,priority_tier,priority_reason,account_original_budget,fiscal_impact_within_ministry,performance_gap,execution_management,budget_performance_mismatch,fiscal_impact,scenario,scenario_score,scenario_score_within_ministry,scenario_rank_min,scenario_rank_average,scenario_rank_max,scenario_rank_percentile,scenario_rank_min_within_ministry,scenario_rank_average_within_ministry,scenario_rank_max_within_ministry,scenario_rank_percentile_within_ministry,scenario_weights
075:2022:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2022,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5622000000,0.05714285714285714,1.0,0.5,0.0,0.078125,equal,0.39453125,0.3892857142857143,40,40.0,40,0.8115942028985508,16,16.0,16,0.7887323943661972,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2022:보건:보건의료:3800:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,3800,2022,RESPONSIBLE_OPERATION_ACCOUNT,국립나주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,7193000000,0.08571428571428572,1.0,0.5,0.0,0.09375,equal,0.3984375,0.3964285714285714,38,38.0,38,0.821256038647343,13,13.0,13,0.8309859154929577,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2022:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2022,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5324000000,0.02857142857142857,1.0,1.0,0.0,0.0703125,equal,0.517578125,0.5071428571428571,7,7.0,7,0.9710144927536232,2,2.0,2,0.9859154929577465,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2022:사회복지:취약계층지원:1900:GENERAL_ACCOUNT,075,사회복지,취약계층지원,1900,2022,GENERAL_ACCOUNT,노숙인의사상자지원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT,7812000000,0.14285714285714285,0.5,1.0,0.0,0.109375,equal,0.40234375,0.4107142857142857,36,36.0,36,0.8309178743961353,9,9.0,9,0.8873239436619719,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2022:보건:보건의료:3000:GENERAL_ACCOUNT,075,보건,보건의료,3000,2022,GENERAL_ACCOUNT,보건산업육성,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT,872066500000,0.7142857142857143,0.5,0.5,0.0,0.78125,equal,0.4453125,0.4285714285714286,23,23.0,23,0.893719806763285,7,7.0,7,0.9154929577464789,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
075:2023:보건:건강보험:4900:GENERAL_ACCOUNT,075,보건,건강보험,4900,2023,GENERAL_ACCOUNT,건강보험제도 운영,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT;PROGRAM_STRUCTURE_CONTEXT,10589360000000,0.9230769230769231,0.5,6.374322905255842e-06,0.0,0.9710144927536232,equal,0.36775521676913214,0.3557708243499571,42,42.0,42,0.8019323671497585,20,20.0,20,0.7323943661971831,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1200:GENERAL_ACCOUNT,019,사회복지,고용,1200,2023,GENERAL_ACCOUNT,고용안전망확충,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,2342583000000,0.8421052631578947,0.3333333333333333,1.0,0.0017029634951390552,0.9130434782608695,equal,0.5620199437723354,0.5442853899965917,5,5.0,5,0.9806763285024155,3,3.0,3,0.9459459459459459,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1000:FUND,019,사회복지,고용,1000,2023,FUND,고용창출,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,913800000000,0.5263157894736842,0.25,1.0,0.30732353906762966,0.7971014492753623,equal,0.588606247085748,0.5209098321353285,3,3.0,3,0.9903381642512077,4,4.0,4,0.9189189189189189,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1000:GENERAL_ACCOUNT,019,사회복지,고용,1000,2023,GENERAL_ACCOUNT,고용창출,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,1952025000000,0.7894736842105263,0.25,0.5,0.16705882352941176,0.8768115942028986,equal,0.44846760443307754,0.42663312693498445,21,21.0,21,0.9033816425120773,7,7.0,7,0.8378378378378378,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1000:SPECIAL_ACCOUNT,019,사회복지,고용,1000,2023,SPECIAL_ACCOUNT,고용창출,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH,255818000000,0.42105263157894735,0.25,0.0,0.14414935618291128,0.6666666666666666,equal,0.26520400571239444,0.20380049694046462,101,101.0,101,0.5169082125603865,27,27.0,27,0.29729729729729726,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
019:2023:사회복지:고용:1300:FUND,019,사회복지,고용,1300,2023,FUND,고용평등증진,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,2715275000000,0.8947368421052632,0.25,0.0,0.008816970656747474,0.927536231884058,equal,0.29658830063520136,0.28838845319050266,80,80.0,80,0.6183574879227054,18,18.0,18,0.5405405405405406,"{""budget_performance_mismatch"": 0.25, ""execution_management"": 0.25, ""fiscal_impact"": 0.25, ""performance_gap"": 0.25}"
