candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,program_level_priority_reason_context,drilldown_selection_scope,program_level_reported_target_context_signal,program_context_grain,program_context_disclaimer,project_performance_attributed,drilldown_role,project_id,account_code,account_name_budget_api,activity_code,activity_name_budget_api,subactivity_code,project_name,project_original_budget,project_current_budget,project_expenditure,project_remaining_amount,project_carryover,project_unused,execution_rate,budget_share_within_candidate,remaining_share_within_candidate,budget_rank_within_candidate,project_financial_signal_types,project_status,structural_change_type,financial_quality_level,rank_confidence,budget_ranking_eligible,execution_ranking_eligible,source_trace_v2,work_lane,work_item_status,work_queue_order,work_queue_order_within_ministry,mean_scenario_rank,scenario_rank_range,mean_scenario_rank_within_ministry,scenario_rank_range_within_ministry,exploratory_consensus_order,all_scenario_top_5,all_scenario_top_5_within_ministry,review_intensity,review_intensity_order,next_action,evidence_status,independent_signal_family_count,repeated_signal_family_count,execution_review_signal,project_review_group,project_review_order_within_candidate,review_sequence_overall,review_sequence_within_ministry
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4131:305,437,국립공주병원,4131,국립공주병원 운영(손익),305,공주병원 병원관리 및 운영(손익),4408000000,4408000000,3159832360,1248167640,0,1248167640,0.7168403720508167,0.7528608027327071,0.8204321427118305,1.0,REPEATED_STRONG_LOW_EXECUTION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROJECT_FINANCIAL_SIGNAL,1,1,1
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4161:300,437,국립공주병원,4161,국립공주병원 운영(자본),300,공주병원 병원관리 및 운영(자본),830000000,830000000,630600880,199399120,108290500,91108620,0.7597600963855422,0.14175918018787362,0.1310668871983041,2.0,REPEATED_YEAR_END_CONCENTRATION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROJECT_FINANCIAL_SIGNAL,2,2,2
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4132:500,437,국립공주병원,4132,공주병원정보화사업(손익),500,"공주병원 전산주요사업(정보화,손익)",99000000,99000000,87029030,11970970,0,11970970,0.8790811111111111,0.016908625106746372,0.00786862938334072,4.0,REPEATED_MODERATE_LOW_EXECUTION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROJECT_FINANCIAL_SIGNAL,3,3,3
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4162:500,437,국립공주병원,4162,공주병원정보화사업(자본),500,"공주병원 전산주요사업(정보화,자본)",93000000,93000000,92639580,360420,0,360420,0.9961245161290323,0.015883859948761743,0.00023690740201868875,5.0,BUDGET_RAPID_DECREASE;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROJECT_FINANCIAL_SIGNAL,4,4,4
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4131:650,437,국립공주병원,4131,국립공주병원 운영(손익),650,공주병원 교육 및 실습 수입대체경비,59000000,85440000,50114900,35325100,0,35325100,0.5865507958801498,0.010076857386848848,0.023219515196299823,6.0,REPEATED_STRONG_LOW_EXECUTION;PROGRAM_BUDGET_CONCENTRATION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROJECT_FINANCIAL_SIGNAL,5,5,5
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,FULL_POPULATION_REVIEWABLE,True,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:437:4100:4131:301,437,국립공주병원,4131,국립공주병원 운영(손익),301,국립공주병원 건강보험부담금(손익),366000000,366000000,339869350,26130650,0,26130650,0.9286047814207651,0.06251067463706234,0.01717591810820612,3.0,PROGRAM_BUDGET_CONCENTRATION,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,12,7,14.25,45.0,6.75,15.0,6,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,2,3,True,PROGRAM_STRUCTURE_CONTEXT,6,6,6
075:2024:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,EXECUTION_MANAGEMENT,FULL_POPULATION_REVIEWABLE,False,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:436:4000:4031:306,436,국립춘천병원,4031,춘천병원 운영(손익),306,춘천병원 병원관리 및 운영(손익),3750000000,3750000000,2518405480,1231594520,0,1231594520,0.6715747946666667,0.5463286713286714,0.5632998876272097,1.0,REPEATED_STRONG_LOW_EXECUTION;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,INFORMATIONAL,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,13,8,92.75,133.0,39.25,47.0,93,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,1,3,True,PROJECT_FINANCIAL_SIGNAL,1,7,7
075:2024:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,EXECUTION_MANAGEMENT,FULL_POPULATION_REVIEWABLE,False,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:436:4000:4061:301,436,국립춘천병원,4061,춘천병원 운영(자본),301,춘천병원 병원관리 및 운영(자본),2473000000,3434776240,2548511050,886265190,688305880,197959310,0.7419729472683204,0.3602855477855478,0.4053550692438187,2.0,REPEATED_STRONG_LOW_EXECUTION;REPEATED_YEAR_END_CONCENTRATION;BUDGET_RAPID_INCREASE;MULTIPLE_FINANCIAL_SIGNALS,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,13,8,92.75,133.0,39.25,47.0,93,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,1,3,True,PROJECT_FINANCIAL_SIGNAL,2,8,8
075:2024:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,EXECUTION_MANAGEMENT,FULL_POPULATION_REVIEWABLE,False,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:436:4000:4031:301,436,국립춘천병원,4031,춘천병원 운영(손익),301,국립춘천병원 건강보험부담금(손익),332000000,332000000,280744740,51255260,0,51255260,0.845616686746988,0.04836829836829837,0.02344284724350951,3.0,REPEATED_MODERATE_LOW_EXECUTION,CONTINUING,,CLEAR,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,13,8,92.75,133.0,39.25,47.0,93,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,1,3,True,PROJECT_FINANCIAL_SIGNAL,3,9,9
075:2024:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,EXECUTION_MANAGEMENT,FULL_POPULATION_REVIEWABLE,False,PROGRAM_YEAR_ACCOUNT,PROGRAM_LEVEL_REFERENCE_NOT_PROJECT_PERFORMANCE,False,PROJECT_FINANCIAL_CONTEXT_ONLY,code:2024:075:436:4000:4031:650,436,국립춘천병원,4031,춘천병원 운영(손익),650,춘천병원 교육 및 실습 수입대체경비,100000000,100000000,92644810,7355190,0,7355190,0.9264481,0.014568764568764568,0.003364076108812807,5.0,BUDGET_RAPID_INCREASE,CONTINUING,,NON_BLOCKING,HIGH,True,True,C:\00_Sookmyunguniv\2026_SUMMER\2026 재정데이터분석경진대회(본선진출)\본선\프로젝트 수행\code\openapi 명세\실데이터\사업별결산세출지출현황\사업별결산세출지출현황_2024.csv,REPEATED_OR_MULTIPLE,READY_FOR_REVIEW,13,8,92.75,133.0,39.25,47.0,93,False,False,REPEATED_OR_MULTIPLE,1,반복·복수 신호의 원인을 세부사업과 원문에서 확인,CONFIRMED,1,3,True,PROJECT_FINANCIAL_SIGNAL,4,10,10
