source_indicator_id,reviewer,review_status,review_note,review_confirmed_at
MOHW-2023-II2-01,권지연,CONFIRMED,"[원문 육안] 지표명·값 의미 일치. 띄어쓰기만 다름(수기/추출 ""시 행결과"" ↔ 원문 표기 ""시행결과""). 분석값 변경 없음.",2026-08-04T10:08:04.487007+00:00
중기부-2022-I1-01,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅰ-1(중소기업육성지원) ①중소기업지원사업 만족도 목표치가 '72.1(점)'로 인쇄되어 있어 수기입력값(72.1)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-I1-02,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅰ-1(중소기업육성지원) ②혁신바우처 지원업체 매출액 증가율 목표치가 '3.9(%)'로 인쇄되어 있어 수기입력값(3.9)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-I1-03,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅰ-1(중소기업육성지원) ③마케팅지원사업 참여기업의 판매증가율 목표치가 '1.54(%)'로 인쇄되어 있어 수기입력값(1.54)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-I2-01,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅰ-2(지역중소기업육성) ①지역기업육성사업 일자리 창출 목표치가 '7.4(명/국비10억원당)'로 인쇄되어 있어 수기입력값(7.4)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-I2-02,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅰ-2(지역중소기업육성) ②지역산업육성사업 사업화 매출효과 목표치가 '20.0(억원)'로 인쇄되어 있어 수기입력값(20)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-II1-01,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 2쪽(원본 177쪽)을 이미지로 렌더링해 육안 확인. 프로그램목표Ⅱ-1(중소기업성장안정지원) ①자금공급 수혜 중소기업 매출액 증가율 목표치가 '8.13(%)'로 인쇄되어 있어 수기입력값(8.13)과 일치함을 확인했습니다. 같은 지표명을 프로그램목표Ⅲ-1도 쓰고 있어(중기부-2022-III1-03) 텍스트검색 기반 자동추출이 두 프로그램의 값을 혼동할 위험이 있었지만, 이 행은 연도 안에서 먼저 매칭되는 위치라 자동추출값(8.13)도 결과적으로 정확했습니다.",2026-07-28
중기부-2022-II1-02,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅱ-1(중소기업성장안정지원) ②중소기업 보증공급 목표치가 '99.7(조원)'로 인쇄되어 있어 수기입력값(99.7)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-II1-03,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅱ-1(중소기업성장안정지원) ③매출채권보험 보상업체 부도율 감소 목표치가 '2.5(%)'로 인쇄되어 있어 수기입력값(2.5)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
중기부-2022-II2-01,"프로젝트팀(원문 이미지 육안검토, 에이전트 화면 공유로 확인)",CONFIRMED,"2022년도 성과계획서_중소벤처기업부-176-216.pdf 별첨1 세부현황 목표치를 자동추출이 실패해 OCR_REQUIRED로 표시됐던 행입니다. 실제로는 34~37쪽(세부현황, 표 자체가 이미지)이 아니라 1~3쪽(별첨1 총괄현황·요약표, 텍스트 레이어 정상)에 같은 목표치가 그대로 적혀 있어, 이 요약표를 이미지로 렌더링해 육안 대조했습니다. 프로그램목표Ⅱ-2(중소기업수출촉진지원) ①수출지원 기업 수출액 증가율 목표치가 '8.2(%)'로 인쇄되어 있어 수기입력값(8.2)과 일치함을 확인했습니다. 보고서 실적/달성률은 자동매칭이 이미 EXACT_MATCH로 확인한 값입니다.",2026-07-28
